Prod Numb,Product Code,Description,Actv,Allerg 1,Allerg 2,Allerg 3,Allerg 4,Allerg 5,Allerg 6,Allerg 7,Allerg 8,Allerg 9
="00319",SUPCHEDBUTR,HERB & GARLIC BUTTER              0.8 OZ,N
="00320",SUPSHRPCHED1,SHARP CHEDDAR                       1 OZ,N
="00321",SUPMOZZ1OZ,MOZZARELLA CHEESE                   1 OZ,N
="00322",SUPPANKO1OZ.,PANKO BREADCRUMBS                   1 OZ,Y
="00323",SUPSHERRYWN1,SHERRY WINE                         1 OZ,N
="00324",SUPSRCRM1OZ.,SOUR CREAM (KR)                     1 OZ,N
="00325",SUPPARM1OZ.,PARMESAN CHEESE                     1 OZ,Y
="00326",SUPWORCH1OZ.,WORCESTERSHIRE SAUCE                1 OZ,Y
="00327",SUPARTHRT1OZ,ARTICHOKE HEARTS                    1 OZ,N
="00328",SUPGOATCHS1,GOAT CHEESE                         1 OZ,N
="00329",SUPCRMCHS1OZ,CREAM CHEESE                        1 OZ,N
="00330",SUPMONTJACK1,MONTERY JACK CHEESE                 1 OZ,Y
="00331",SUPASNSES2,ORIENTAL  DRESSING                1.5 OZ,N,SOYBEA,WHEAT
="00332",SUPWHTCIABA,"CIABATTA, WHITE                     EACH",N,WHEAT
="00333",SUPMULTICIAB,"CIABATTA, MULTIGRAIN                EACH",N,WHEAT
="00334",SUPBBYCRNPCS,BABY CORN PIECES 1 OZ.,N
="00335",SUPBLKEYPEAS,BLACK EYED PEAS                     1 OZ,Y
="00336",SUPBLCKBEAN1,BLACK BEANS                         1 OZ,Y
="00337",SUPBLCKOLIVE,"OLIVES, BLACK                       1 OZ",N
="00338",SUPQUESOFRSC,QUESO FRESCO CHEESE 1 OZ.,N
="00339",SUPSHRPPRJCK,SHRD PEPPERJACK CHEESE 1 OZ.,N
="00340",SUPCCLOAF,BLACK OLIVES TACO 1 OZ.             1 OZ,N
="00341",SUPCRMBBLUCH,CRUMBLED BLEU CHEESE 1 OZ.,Y,MILK
="00342",SUPEDMAME1Z,EDAMAME                             1 OZ,Y,SOYBEA
="00343",SUPGBNZOBEAN,GARBANZO BEANS                      1 OZ,Y
="00344",SUPGRKHNYYOG,GREEK HONEY VANILLA YOGURT          1 OZ,N
="00345",SUPBACONBITS,BACON BITS PORTION CUP            0.6 OZ,Y
="00346",SUPCHKNSTRP,CHICKEN STRIP PLAIN 1 OZ.,N
="00348",SUPDCDTURKEY,DICED TURKEY 1 OZ.,N
="00349",SUPGRKOLIVES,GREEK OLIVES 1 OZ.,N
="00350",SUPPPRNCINI1,PEPPERONCINI 1 OZ.,N
="00351",SUPRAISIN1OZ,RAISINS 1 OZ.,Y
="00352",SUPCTNSSTRFR,CATONESE STIR FRY SAUCE 1 OZ.,N
="00353",SUPS&SSAUCE,SWEET AND SOUR SAUCE 2 OZ.,Y,SOYBEA
="00354",SUPSZECHUAN,SZECHUAN SAUCE 2OZ.,Y,SOYBEA,WHEAT
="00355",SUPSHRDPRRO,"CHEESE, PARMESAN SHREDDED           1 OZ",N,MILK
="00356",SUPSWISSCHS,SHREDDED SWISS CHEESE 1 OZ.,Y
="00357",SUPSRCREAM1,SEASONED SOUR CREAM PC,N,MILK
="00358",SUPJPCDSTF1,BANGKOK PEANUT SAUCE                2 OZ,Y,WHEAT,PEANUT,SOYBEA
="00359",SUPSPNARSTF1,SPINACH ARTICHOKE STUFFING 1OZ      1 OZ,N
="00360",SUPPIZZASTF1,PIZZA STUFFING 1 OZ                 1 OZ,N
="00361",SUPBACONQ&E,Q&E BACON BITS 1 OZ.                1 OZ,N
="00363",SUPCRCHSHRED,FINELY SHREDDED CHED CHEESE         1 OZ,Y,MILK
="00364",SUPFETACHS1,FETA CHEESE                         1 OZ,N,MILK
="00365",SUPRFRIEDBN1,"BEAN, REFRIED                       1 OZ",N
="00366",CUTTUBLIMJUI,LIME JUICE                          1 OZ,Y
="00367",SUPMTHAMDICE,DICED HAM 1 OZ.,N
